Subject Code,Course Number,Course Title,Description,Prerequisites,Lecture Hours,Repeat Status,Grade Mode,Schedule Type
INQR,1000,Fundamentals of Academic Inquiry,,Prerequisites not found,Lecture Hours not found,Repeat Status not found,"Normal, Audit","Seminar - Small Group, Asynchronous Instruction"
INQR,1000,H - Honors: Fundamentals of Academic Inquiry,,Prerequisites not found,1,Repeat Status not found,"Normal, Audit","Seminar - Small Group, Asynchronous Instruction"
ASII,1101,Learning for Success,,Prerequisites not found,1,Repeat Status not found,"Normal, Audit","Lecture, Seminar - Small Group"
ASII,1201,Teaching and Learning for Peer Educators,,Prerequisites not found,1,Repeat Status not found,"Normal, Audit","Lecture, Seminar - Small Group"
ACCT,2101,Principles of Accounting I,,MATH 1101>=C or,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,2102,Principles of Accounting II,,ACCT2101 >= C,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,3311,Intermediate Accounting I,,ACCT2101 >= B,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,3312,Intermediate Accounting II,,ACCT3311 >= C and ACCT2101 >= B and ACCT2102 >= B,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,3313,Intermediate Accounting III,,ACCT3312 >= C,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,3321,Cost Accounting,,(ACCT2102 >= B or ACC212 >= B) and MINF2650 >= C,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,3331,Federal Income Taxation,,(ACCT2101 >= B or ACC211 >= B),3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,4322,Cost Management,,(ACCT3321 >= C or ACC411 >= C),3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,4332,Advanced Federal Income Taxation,,(ACCT3331 >= C or ACC451 >= C),3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,4350,Accounting Information Systems,,(MINF2201 >= C or MINF2650 >= C or MIS210 >= C) and,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,4360,Auditing,,(ACCT3312 >= C or ACCT4350 >= C),3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,4370,Advanced Accounting,,(ACCT3312 >= C or ACC312 >= C),3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,4380,Governmental and Institutional Accounting,,(ACCT2102 >= B or ACC212 >= B) and (ACCT2101 >= B or ACC211 >= B),3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,4390,Financial Statement Analysis,"This course focuses on the analysis and interpretation of financial statements, including: 1) profitability and ratio analysis, 2) adjustment and restatement of financial statements, 3) cash flow analysis, 4) accounting-based equity valuation, 5) market impact of accounting choices, 6) earnings quality, 7) earnings management, mergers, and acquisitions, 8) intangibles, credit analysis, and credit ratings, and 9) financial statement forecasting.",Prerequisites not found,3,Repeat Status not found,"N- Normal (A, B, C, D, F)","10- Lecture, 57- Asynchronous Instruction"
ACCT,4950,Selected Topics in Accounting,,Prerequisites not found,3,Repeat Status not found,"Normal, Audit","Lecture, Independent Study, Asynchronous Instruction"
ACCT,4960,Accounting Internship,,Prerequisites not found,3,Repeat Status not found,"Normal, Audit","Asynchronous Instruction, Internship/Practicum"
ACCT,6300,Accounting for Managers,,Prerequisites not found,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,6332,Advanced Federal Income Taxation,,Prerequisites not found,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,6350,Accounting for Healthcare Managers,,Prerequisites not found,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,6370,Advanced Accounting,,Prerequisites not found,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,6380,Governmental and Institutional Accounting,,Prerequisites not found,3,Repeat Status not found,"Normal, Audit","Lecture, Asynchronous Instruction"
ACCT,6950,Selected Topics in Accounting,,Prerequisites not found,3,Repeat Status not found,"Normal, Audit","Lecture, Independent Study, Asynchronous Instruction"
ADBL,5211,Basic Cardiac Life Support Training I,,Prerequisites not found,4,Repeat Status not found,"Satisfactory/Unsatisfactory, Audit",Lecture/Supervised Lab/Clinic
ADBL,5612,Basic Cardiac Life Support Training II,,Prerequisites not found,4,Repeat Status not found,"Satisfactory/Unsatisfactory, Audit",Lecture/Supervised Lab/Clinic
ADCL,5291,Community Outreach I,This one credit hour course will run both semesters of the first year of the dental curriculum and will provide students with the opportunity to serve the oral health needs of the local community and the state in a variety of ways and venues. In the first year the students will be expected to accrue a minimum of 20 hours of public service and will receive one credit hour. (See under course requirements),Prerequisites not found,Lecture Hours not found,Repeat Status not found,"Normal, Audit",Supervised Lab/Clinic
ADCL,5492,Community Outreach II,This one credit hour course will run both semesters of the first year of the dental curriculum and will provide students with the opportunity to serve the oral health needs of the local community and the state in a variety of ways and venues. In the first year the students will be expected to accrue a minimum of 20 hours of public service and will receive one credit hour. (See under course requirements),Prerequisites not found,Lecture Hours not found,Repeat Status not found,"Normal, Audit",Supervised Lab/Clinic
ADCL,5693,Community Outreach III,This one credit hour course will run both semesters of the first year of the dental curriculum and will provide students with the opportunity to serve the oral health needs of the local community and the state in a variety of ways and venues. In the first year the students will be expected to accrue a minimum of 20 hours of public service and will receive one credit hour. (See under course requirements),Prerequisites not found,1,Repeat Status not found,"Normal, Audit",Supervised Lab/Clinic
ADCL,5794,Community Outreach Clerkship I,,Prerequisites not found,Lecture Hours not found,Repeat Status not found,"Normal, Audit",Supervised Lab/Clinic
ADCL,5895,Community Outreach Clerkship II,,Prerequisites not found,Lecture Hours not found,Repeat Status not found,"Normal, Audit",Supervised Lab/Clinic
